name,ingredients_name,category
Dim Posto Recipe - Bengali Egg Curry With Poppy Seeds,"Whole Eggs, Potatoes (Aloo), Poppy seeds, Homemade tomato puree, Panch Phoran Masala, Turmeric powder (Haldi), Onion, Ginger, Garlic, Green Chilli, Mustard oil, Dry Red Chilli, Bay leaf (tej patta), Sugar, Salt",Indian
Roasted Vegetables Pizza Pouch Recipe,"Homemade Pizza Dough, Onion, Red Bell pepper (Capsicum), Button mushrooms, Cabbage (Patta Gobi/ Muttaikose), Carrots (Gajjar), Green peas (Matar), Garlic, Sweet corn, Sultana Raisins, Extra Virgin Olive Oil, Soy sauce, Red Chilli sauce, Salt",Italian
Restaurant Style Paneer Butter Masala Recipe | Paneer Makhani Recipe,"Paneer (Homemade Cottage Cheese), Tomatoes, Cashew nuts, Butter (Salted), Cumin seeds (Jeera), Onion, Ginger, Garlic, Green Chillies, Turmeric powder (Haldi), Cumin powder (Jeera), Coriander (Dhania) Powder, Kashmiri Red Chilli Powder, Garam masala powder, Cardamom Powder (Elaichi), Fresh cream, Butter (Salted), Ghee, Salt, Sugar, Kasuri Methi (Dried Fenugreek Leaves), Fresh cream, Coriander (Dhania) Leaves",Indian
Shanghai Style Sweet And Spicy Crispy Lotus Stem,"Lotus root, Garlic, Ginger, Roasted Peanuts (Moongphali), Spring Onion (Bulb & Greens), Fresh Red chillies, Oil, Dark soy sauce, Light soy sauce, Vinegar, Red Chilli sauce, Sugar, Sesame (Gingelly) Oil, Corn flour, Water, Salt",Other
Mixed Vegetable Handi Recipe,"Oil, Cumin seeds (Jeera), Bay leaves (tej patta), Onion, Ginger, Garlic, Green Chilli, Tomatoes, Cashew nuts, Kashmiri Red Chilli Powder, Turmeric powder (Haldi), Garam masala powder, Coriander Powder (Dhania), Butter (Salted), Salt, Carrots (Gajjar), Sweet corn, Green peas (Matar), Green beans (French Beans), Green Bell Pepper (Capsicum), Cauliflower (gobi), Button mushrooms, Paneer (Homemade Cottage Cheese), Water, Curd (Dahi / Yogurt), Fresh cream, Kasuri Methi (Dried Fenugreek Leaves), Coriander (Dhania) Leaves, Mint Leaves (Pudina), Lemon",Other
Mixed Vegetable Koora Recipe - Mixed Vegetable Poriyal,"Sweet Potato, Potatoes (Aloo), Carrot (Gajjar), Avarekai (Broad Beans), Methi Leaves (Fenugreek Leaves), Green Chillies, Water, Sesame seeds (Til seeds), Fresh coconut, Jaggery, Salt, Turmeric powder (Haldi), Oil, Mustard seeds (Rai/ Kadugu), Cumin seeds (Jeera), Curry leaves",Other
Bharva Baingan Masala Recipe - Stuffed Brinjal Masala,"Small Brinjal (Baingan / Eggplant), Roasted Peanuts (Moongphali), Sesame seeds (Til seeds), Turmeric powder (Haldi), Red Chilli powder, SSP Asafoetida (Hing), Amchur (Dry Mango Powder), Gram flour (besan), Salt, Homemade tomato puree, Cumin seeds (Jeera), Onion, Garlic, Ginger, Turmeric powder (Haldi), Coriander Powder (Dhania), Red Chilli powder, Garam masala powder, Salt, Jaggery, Coriander (Dhania) Leaves, Mustard oil",Indian
Menthe / Fenugreek Seeds Tambli Recipe (Karnataka Recipes),"Methi Seeds (Fenugreek Seeds), Dry Red Chillies, Fresh coconut, Curd (Dahi / Yogurt), Ghee, Salt, Ghee, Mustard seeds (Rai/ Kadugu), Curry leaves",Other
Mexican Style Vegetarian Chimichanga Recipe-Deep Fried Burrito ,"Carrot (Gajjar), Green bell peppers, Onion, Green Chilli, Roasted tomato pasta sauce, Garlic, Brown Rice, Pickled Jalapenos, Red Chilli flakes, Red Chilli powder, Dry ginger powder, Black pepper powder, Salt, Whole Wheat Flour, Salt, Baking powder, Butter (Salted)",Mexican
"Tortilla Pizza With Tomato, Onion And Capsicum Recipe","Corn flour tortilla, Homemade Pizza And Pasta Sauce, Mozzarella cheese, Tomato, Onion, Green Bell Pepper (Capsicum), Dried oregano, Red Chilli flakes",Italian
Whole Wheat Lachha Paratha Recipe-Multilayered Layered Indian Flat Bread,"Whole Wheat Flour, Salt, Ghee",Other
Tamil Nadu Style Potato Masiyal Recipe (South Indian Style Aloo Masala),"Potatoes (Aloo), Onion, Green Chillies, Ginger, Garlic, Cashew nuts, Gram flour (besan), Turmeric powder (Haldi), Salt, Coriander (Dhania) Leaves, Sesame (Gingelly) Oil, Mustard seeds (Rai/ Kadugu), Chana dal (Bengal Gram Dal), Curry leaves",Indian
Karwar Style Valval Recipe (Mixed Vegetables In Coconut Milk),"Green beans (French Beans), Carrot (Gajjar), Green peas (Matar), Potato (Aloo), Mangalorean cucumber, Pointed gourd (Parval), Green Chillies, Coconut milk, Mustard seeds (Rai/ Kadugu), Cumin seeds (Jeera), Dry Red Chilli, Coconut Oil, Curry leaves",Other
Chicken Korma Recipe - Mughlai Style Chicken Curry,"Chicken, Black pepper powder, Kashmiri Red Chilli Powder, Oil, Ginger Garlic Paste, Salt, Onion, Ginger, Garlic, Water, Oil, Green Chilli, Cardamom (Elaichi) Pods/Seeds, Curd (Dahi / Yogurt), Ajwain (Carom seeds), Garam masala powder, Coriander (Dhania) Leaves, Oil",Indian
Asparagus Broccoli Fettuccine Pasta With Roasted Almonds Recipe,"Fettuccine Pasta, Asparagus, Broccoli, Garlic, Extra Virgin Olive Oil, Fresh cream, Butter (Salted), Homemade Basil Pesto, Salt and Pepper, Cheddar cheese, Whole Almonds (Badam), Cheddar cheese, Basil leaves",Italian
Shimla Mirchi Panchamrut Recipe | Konkani Capsicum Cashew Peanut Sabzi,"Green Bell Pepper (Capsicum), Raw Peanuts (Moongphali), Cashew nuts, Coconut Oil, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Asafoetida (hing), Turmeric powder (Haldi), Red Chilli powder, Jaggery, Cloves (Laung), Cinnamon Stick (Dalchini), Coriander (Dhania) Seeds, Cumin seeds (Jeera), Whole Black Pepper Corns, Methi Seeds (Fenugreek Seeds), Fresh coconut, Roasted Peanuts (Moongphali), Tamarind",Other
Baale Dindu Kadale Palya - Banana Stem Curry With Chickpeas Recipe,"Banana Stem, Kala Chana (Brown Chickpeas), Fresh coconut, Cumin seeds (Jeera), Coriander (Dhania) Seeds, Red Chilli powder, Onions, Garlic, Curry leaves, Salt, Oil, Coriander (Dhania) Leaves, Green Chilli, Lemon juice",Indian
Herbed Dinner Rolls Recipe,"Vivatta Maida, Active dry yeast, Sugar, Salt, Butter (Unsalted), Whole Eggs, Fresh Herbs, Lukewarm Water, Milk, Whole Egg, Sesame seeds (Til seeds)",Other
Thai Grilled Pineapple Recipe,"Pineapple, Fresh coconut, Butter (Salted), Lemon juice, Palm sugar, Hung Curd (Greek Yogurt)",Other
Restaurant Style Green Peas Masala Recipe,"Green peas (Matar), Onions, Garlic, Green Chillies, Ginger, Tomatoes, Red Chilli powder, Coriander Powder (Dhania), Cumin powder (Jeera), Turmeric powder (Haldi), Garam masala powder, Salt, Sugar, Coriander (Dhania) Leaves, Cashew nuts, Curd (Dahi / Yogurt), Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Cloves (Laung), Bay leaf (tej patta), Oil, Butter (Salted)",Indian
Mangalorean Style Sonay Sukka Recipe - Dry Chickpea Stir Fry ,"Kabuli Chana (White Chickpeas), Mustard seeds (Rai/ Kadugu), Curry leaves, Cloves (Laung), Onion, Fresh coconut, Tamarind Water, Oil, Salt, Byadagi Dried Chillies, Coriander (Dhania) Seeds, Cumin seeds (Jeera), Whole Black Peppercorns, Turmeric powder (Haldi)",Asian
Dahi Bhindi Recipe - Okra in Yogurt Curry with Caramelized Onions,"Bhindi (Lady Finger/Okra), Onion, Ginger, Curd (Dahi / Yogurt), Gram flour (besan), Garam masala powder, Turmeric powder (Haldi), Red Chilli powder, Salt, Caramelized onions, Oil, Ghee, Cumin seeds (Jeera), Dry Red Chillies, Coriander (Dhania) Leaves",Indian
Jaggery Sweetened Apple Oatmeal Recipe ,"Apple, Instant Oats (Oatmeal), Jaggery, Cinnamon Powder (Dalchini), Ginger, Nutmeg powder, Vanilla Extract, Water, Milk, Hazelnut, Sultana Raisins, Sesame seeds (Til seeds), Apple",Other
Goan Style Sangacho Ross Recipe-Drumstick Curry,"Arhar dal (Split Toor Dal), Drumstick, Onion, Fresh coconut, Coriander (Dhania) Seeds, Dry Red Chillies, Tamarind, Whole Black Peppercorns, Turmeric powder (Haldi)",Indian
